X,Y,OBJECTID,Texto
-6.06265814809837,36.7438277047636,1,Aeropuerto de Jerez
-8.63049115796039,42.2257396738914,2,Aeropuerto de Vigo
-6.82112054312309,38.8898447912335,3,Aeropuerto de Badajoz
-3.7786126652442,37.1868259276527,4,Aeropuerto de Granada - Jaén F.G.L.
-2.37123378142463,36.84478113166,5,Aeropuerto de Almería
-5.50295520159722,40.9507572740961,6,Aeropuerto de Salamanca 
1.37266900621894,38.8743519991843,7,Aeropuerto de Ibiza
-13.6050201560167,28.9510445490425,8,Aeropuerto de Lanzarote
-17.7536532570936,28.622083606032,9,Aeropuerto de La Palma
-16.3476386680522,28.4858112731997,10,Aeropuerto de Tenerife Norte 
-17.2119697040132,28.0311629769914,11,Aeropuerto de La Gomera
-16.5753063057623,28.0454877688653,12,Aeropuerto de Tenerife Sur 
-15.3870942940345,27.9311112769043,13,Aeropuerto de Gran Canaria
-17.886954036627,27.8148410023318,14,Aeropuerto de El Hierro
-6.03261831701245,43.5621961577202,15,Aeropuerto de Asturias
-4.84825418939675,41.7090200550144,16,Aeropuerto de Valladolid
-3.82281575820605,43.4261455946876,17,Santander-Seve Ballesteros
-1.79160586505353,43.3564094228721,18,Aeropuerto de San Sebastián
-2.90835791012765,43.3025065212424,19,Aeropuerto de Bilbao
-4.84694700411443,37.8438687467462,20,Aeropuerto de Córdoba
-8.37750165001967,43.3027177882044,21,Aeropuerto de A Coruña
-3.57631884464257,40.4920796899595,22,Aeropuerto de Adolfo Suárez Madrid - Barajas
-1.86316358278324,38.9496344716691,23,Aeropuerto de Albacete
-5.44077633830315,36.1288084587096,24,Helipuerto de Algeciras
-0.563348514739952,38.285826141323,25,Aeropuerto de Alicante - Elche
2.0850252848446,41.2963022390507,26,Aeropuerto de Barcelona - El prat
-3.62168523164284,42.3543301392194,27,Aeropuerto de Burgos
-5.30623120615002,35.8924021810502,28,Helipuerto de Ceuta
-13.8661985363058,28.4505673866539,29,Aeropuerto de Fuerteventura
2.76377619505416,41.9009329638745,30,Aeropuerto de Girona - Costa Brava
-0.317632963895441,42.0766216191812,31,Aeropuerto de Huesca Pirineos
-5.65446326617617,42.5898283308143,32,Aeropuerto de León
-2.31727738297909,42.4595949051361,33,Aeropuerto de Logroño - Agoncillo
-3.78510333992167,40.3706276418216,34,Aeropuerto de Madrid - Cuatro vientos
-4.49669999056667,36.6763094349338,35,Aeropuerto de Málaga - Costa del Sol
-2.9559348902437,35.2792317919421,36,Aeropuerto de Melilla
4.22138582966278,39.8644836446801,37,Aeropuerto de Menorca
-0.816984937245996,37.7730740800218,38,Aeropuerto de Murcia - San Javier
2.73182505626748,39.5498684081411,39,Aeropuerto de Palma de Mallorca
-1.64277400477519,42.7651075067292,40,Aeropuerto de Pamplona
1.15850503879409,41.1464914532835,41,Aeropuerto de Reus
2.1047916346933,41.5209971147811,42,Aeropuerto de Sabadell
-8.41796100595012,42.8974221736902,43,Aeropuerto de Santiago
-5.89862365719406,37.4197490237682,44,Aeropuerto de Sevilla
2.70527413442138,39.601477659237,45,Aeropuerto de Son Bonet
-0.480521208090487,39.49096862777,46,Aeropuerto de Valencia
-2.73115816137358,42.8791584512708,47,Aeropuerto de Vitoria
-1.06034883791556,41.6705496981929,48,Aeropuerto de Zaragoza
